Epoch,Train_Loss,Val_Loss,Dice_Score,clDice_Score,Combined_Score,Dice_Std,clDice_std,Best_Score,Time
69,0.814806,N/A,0.897224,0.898964,0.898094,0.074113,0.024615,0.900985,535.53
70,0.812217,0.897263,0.893894,0.896995,0.895445,0.082299,0.024297,0.900985,545.76
71,0.788752,N/A,0.901993,0.905175,0.903584,0.076541,0.023134,0.903584,536.46
72,0.765781,N/A,0.899033,0.901934,0.900484,0.080018,0.023283,0.903584,540.17
73,0.782087,N/A,0.898874,0.901567,0.900220,0.073634,0.023196,0.903584,541.04
74,0.773314,N/A,0.894437,0.896220,0.895328,0.078758,0.024941,0.903584,542.70
75,0.772323,N/A,0.897892,0.901524,0.899708,0.084685,0.025789,0.903584,542.94
76,0.769128,N/A,0.894667,0.896446,0.895556,0.080943,0.021419,0.903584,545.10
77,0.754746,N/A,0.897456,0.900559,0.899008,0.082906,0.023690,0.903584,540.87
78,0.756986,N/A,0.901124,0.904539,0.902832,0.077708,0.022969,0.903584,538.77
79,0.774247,N/A,0.899846,0.902716,0.901281,0.078087,0.024241,0.903584,546.81
80,0.791331,1.012535,0.877581,0.880836,0.879208,0.112871,0.026068,0.903584,549.03
81,0.758868,N/A,0.899088,0.902197,0.900642,0.083294,0.022458,0.903584,543.77
82,0.764075,N/A,0.895372,0.897356,0.896364,0.082396,0.022983,0.903584,543.35
83,0.747316,N/A,0.901512,0.904353,0.902933,0.074617,0.021329,0.903584,543.35
84,0.762320,N/A,0.896856,0.897813,0.897334,0.079877,0.022431,0.903584,543.18
85,0.769381,0.857934,0.898640,0.901189,0.899914,0.076958,0.021639,0.903584,553.32
86,0.753500,N/A,0.893223,0.894986,0.894105,0.078724,0.024842,0.903584,538.89
87,0.846451,N/A,0.891138,0.893524,0.892331,0.095239,0.025472,0.903584,549.16
88,0.793616,N/A,0.897752,0.900271,0.899011,0.084248,0.022292,0.903584,546.27
89,0.744182,N/A,0.902047,0.905104,0.903575,0.079864,0.021145,0.903584,537.33
90,0.736004,0.881884,0.894469,0.896668,0.895568,0.082119,0.020962,0.903584,556.77
91,0.736544,0.837762,0.902076,0.905704,0.903890,0.079646,0.022960,0.903890,557.57
92,0.723900,0.886712,0.892377,0.893127,0.892752,0.085037,0.023859,0.903890,558.28
93,0.728950,0.880490,0.895549,0.896945,0.896247,0.081532,0.023873,0.903890,549.56
94,0.720783,1.180770,0.849755,0.850946,0.850350,0.117196,0.035008,0.903890,549.42
95,0.794650,0.864586,0.897817,0.899951,0.898884,0.077296,0.021694,0.903890,557.62
96,0.727789,0.897433,0.891984,0.892644,0.892314,0.079199,0.023650,0.903890,555.85
97,0.719836,0.838325,0.901246,0.904239,0.902743,0.078513,0.020394,0.903890,554.40
98,0.706938,0.813798,0.904941,0.908093,0.906517,0.075972,0.021699,0.906517,553.07
99,0.710798,0.825376,0.903275,0.906632,0.904953,0.078696,0.019687,0.906517,553.63
